date, pm25, pm10, o3, no2, so2, co
2025/11/1, 50, 16, 10, 5, , 
2025/11/2, 46, 14, 13, 7, , 
2025/11/3, 21, , , , , 
2025/11/8, 65, 18, 14, 7, , 
2025/11/9, 57, 27, 9, 11, , 
2025/11/10, 63, , 7, 15, , 
2025/11/12, 57, 24, 8, 15, , 
2025/11/13, 57, 21, 14, 9, , 
2025/11/14, 57, 27, 19, 7, , 
2025/11/15, 63, , , , , 
2025/10/2, 30, 12, 25, 3, , 
2025/10/3, 34, 12, 21, 5, , 
2025/10/4, 30, 8, 23, 1, , 
2025/10/5, 17, 7, 16, 6, , 
2025/10/6, 17, 13, 12, 9, , 
2025/10/7, 34, 14, 13, 10, , 
2025/10/8, 34, , 15, 8, , 
2025/10/11, 46, 15, 13, 8, , 
2025/10/12, 38, 18, 12, 9, , 
2025/10/13, 46, 20, 13, 10, , 
2025/10/14, 50, 19, 15, 7, , 
2025/10/15, 50, 21, 14, 8, , 
2025/10/16, 53, 15, 15, 6, , 
2025/10/17, 42, 15, 15, 5, , 
2025/10/18, 46, 16, 16, 6, , 
2025/10/19, 46, 17, 17, 7, , 
2025/10/20, 55, 14, 20, 4, , 
2025/10/21, 50, 13, 11, 7, , 
2025/10/22, 42, 17, 18, 2, , 
2025/10/23, 30, 22, 16, 6, , 
2025/10/24, 25, 15, 18, 3, , 
2025/10/25, 25, 16, 20, 1, , 
2025/10/26, 13, 20, 15, 5, , 
2025/10/27, 25, 20, 9, 11, , 
2025/10/28, 34, 18, 17, 6, , 
2025/10/29, 38, 14, 21, 3, , 
2025/10/30, 30, 14, 13, 8, , 
2025/10/31, 30, 18, 7, 8, , 
2025/7/1, 70, 25, 32, 5, 2, 
2025/7/2, 42, 27, 31, 6, 2, 
2025/7/4, 61, 20, 23, 5, 2, 
2025/7/5, 34, 17, 22, 1, 2, 
2025/7/6, 57, , 25, 1, 2, 
2025/7/8, 21, 12, 28, 3, 2, 
2025/7/9, 13, 13, 28, 6, 2, 
2025/7/10, 21, 16, 32, 6, 2, 
2025/7/11, 30, 13, 33, 4, 2, 
2025/7/12, 30, 12, 26, 2, 2, 
2025/7/13, 30, 14, 22, 4, 2, 
2025/7/14, 21, 18, 22, 7, 2, 
2025/7/15, 42, 19, 25, 7, 2, 
2025/7/16, 42, 20, 23, 5, , 
2025/7/17, 46, 18, 24, 4, , 
2025/7/18, 38, 17, 25, 5, 1, 
2025/7/19, 42, 19, 24, 2, 1, 
2025/7/20, 42, 20, 20, 2, , 
2025/7/21, 46, 20, 22, 3, 1, 
2025/7/22, 42, 21, 22, 4, 1, 
2025/7/23, 34, 19, 21, 6, 1, 
2025/7/24, 34, 20, 29, 5, 1, 
2025/7/25, 38, 14, 28, 2, 1, 
2025/7/26, 25, 14, 26, 3, 1, 
2025/7/27, 25, 17, 22, 3, 1, 
2025/7/28, 25, 6, 24, 2, 1, 
2025/7/29, 17, 10, 27, 4, 1, 
2025/7/30, 21, 11, 26, 4, 1, 
2025/7/31, 25, 14, 24, 6, 1, 
2025/8/1, 25, 13, 22, 3, 1, 
2025/8/2, 30, 13, 28, 1, 1, 
2025/8/3, 30, 9, 25, 3, 1, 
2025/8/4, 30, 13, 24, 5, 1, 
2025/8/5, 25, 15, 28, 6, 1, 
2025/8/6, 34, 20, 32, 7, 1, 
2025/8/7, 46, 20, 29, 8, 1, 
2025/8/8, 50, 19, 30, 6, 1, 
2025/8/9, 46, 21, 30, 6, 1, 
2025/8/10, 53, 26, 38, 6, 1, 
2025/8/11, 61, 30, 32, , 1, 
2025/8/12, 68, 26, 34, 6, 1, 
2025/8/13, 65, 22, 38, 5, 1, 
2025/8/14, 57, 20, 37, 2, 1, 
2025/8/15, 57, 22, 33, 3, 1, 
2025/8/16, 59, 20, 29, 3, 1, 
2025/8/17, 55, 17, 28, 3, 1, 
2025/8/18, 46, 18, 28, 3, 1, 
2025/8/19, 46, 18, 29, 1, 1, 
2025/8/20, 46, 16, 26, 1, 1, 
2025/8/21, 34, 12, 25, 5, 1, 
2025/8/22, 30, 14, 25, 3, 1, 
2025/8/23, 34, 15, 22, 2, 1, 
2025/8/24, 30, 16, 22, 5, 1, 
2025/8/25, 34, 16, 21, 5, 1, 
2025/8/26, 42, 18, 21, 4, 1, 
2025/8/27, 46, 25, 29, 3, 1, 
2025/8/28, 65, 23, 22, 3, 1, 
2025/8/29, 38, 13, 19, 4, 1, 
2025/8/30, 17, 11, 19, 3, 1, 
2025/8/31, 21, 11, 22, 4, 1, 
2025/9/1, 25, 13, 23, 3, 1, 
2025/9/2, 21, 13, 17, 5, 1, 
2025/9/3, 21, 16, 19, 6, 1, 
2025/9/4, 30, , 19, 7, 1, 
2025/9/6, 30, 17, 19, 5, 1, 
2025/9/8, 42, 20, 22, 6, 1, 
2025/9/9, 42, 13, 14, 3, 12, 
2025/9/10, 21, 15, 17, , 9, 
2025/9/11, 21, 15, 16, , , 
2025/9/12, 25, 16, 15, 6, , 
2025/9/13, 30, 15, 15, 5, , 
2025/9/14, 30, 13, 15, 5, , 
2025/9/15, 25, 12, 14, 6, , 
2025/9/16, 25, 14, 16, 6, , 
2025/9/17, 30, 16, 18, 7, , 
2025/9/18, 30, 17, 18, 8, , 
2025/9/19, 30, 15, 19, 6, , 
2025/9/20, 34, 11, 19, 6, , 
