# Sensor Växjö, Sweden (Citizen Science project sensor.community/17662)
# https://aqicn.org/station/@63646/
# Daily pm25
date,min,max,pm25,q1,q3,stdev,count
2020-02-19T00:00:00.000Z,0.5,3.05,1.76,1.25,2.24,0.618,450
2020-02-20T00:00:00.000Z,1.02,7.45,1.96,1.64,2.8,1.275,494
2020-02-21T00:00:00.000Z,0.7,6.42,2.5,1.66,3.3,1.012,439
2020-02-22T00:00:00.000Z,0.5,3.78,0.85,0.7,2.56,1.022,465
2020-02-23T00:00:00.000Z,1.86,7.9,3.5,3.16,3.89,0.622,433
2020-02-24T00:00:00.000Z,1.34,2.54,1.78,1.65,2.04,0.27,530
2020-02-25T00:00:00.000Z,0.5,3.62,1.23,0.8,1.85,0.679,461
2020-02-26T00:00:00.000Z,0.6,1.94,1.13,1.04,1.2,0.215,413
2020-02-27T00:00:00.000Z,0.92,1.74,1.2,1.13,1.3,0.133,554
2020-02-28T00:00:00.000Z,1.05,2.5,1.49,1.38,1.61,0.228,568
2020-02-29T00:00:00.000Z,1.1,9.21,3.34,2.52,4.38,1.384,569
2020-03-01T00:00:00.000Z,1.17,4.25,2.08,1.89,2.48,0.429,575
2020-03-02T00:00:00.000Z,0.75,4.21,1.99,1.24,2.54,0.792,511
2020-03-03T00:00:00.000Z,0.86,15.77,3.34,2.04,6.62,3.686,428
2020-03-04T00:00:00.000Z,0.72,3.12,1.5,1,2.02,0.611,582
2020-03-05T00:00:00.000Z,0.77,3.88,1.4,1,2.33,0.896,584
2020-03-06T00:00:00.000Z,1.13,18.91,10.76,2.17,13.83,5.863,588
2020-03-07T00:00:00.000Z,2.42,12.06,4.7,3.74,7.52,2.825,586
2020-03-08T00:00:00.000Z,4.36,13.15,7.9,6.87,9.8,1.994,585
2020-03-09T00:00:00.000Z,1.32,11.5,6.78,4.03,8.35,2.642,579
2020-03-10T00:00:00.000Z,0.6,11.31,3.14,1.27,5.33,2.614,585
2020-03-11T00:00:00.000Z,1,4.2,2.93,2.66,3.18,0.508,584
2020-03-12T00:00:00.000Z,0.5,5.37,1.92,1.35,2.62,0.922,528
2020-03-13T00:00:00.000Z,0.56,4.18,1.7,1.11,2.97,1.036,551
2020-03-14T00:00:00.000Z,0.8,3.26,1.07,0.98,1.2,0.292,549
2020-03-15T00:00:00.000Z,4.01,6.05,5.09,4.83,5.38,0.421,292
2020-03-16T00:00:00.000Z,0.81,4.15,1.79,1.11,3.2,0.982,583
2020-03-17T00:00:00.000Z,1.45,4.36,2.72,2.44,3.22,0.601,581
2020-03-18T00:00:00.000Z,0.7,9.5,2.72,1.55,4.3,2.037,520
2020-03-19T00:00:00.000Z,1.61,3.06,2.25,2,2.54,0.335,568
