# Sensor Calle Hernando de Zafra, Centro, Spain (Citizen Science project sensor.community/47617)
# https://aqicn.org/station/@128242/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-09-08T00:00:00.000Z,1.45,5.12,2.81,2.33,3.47,0.772,234
2020-09-09T00:00:00.000Z,1.12,21.02,2.17,1.8,2.67,1.724,237
2020-09-10T00:00:00.000Z,0.73,11.73,1.59,1.27,2.27,1.273,218
2020-09-11T00:00:00.000Z,0.8,4.7,1.7,1.4,2.25,0.747,202
2020-09-12T00:00:00.000Z,0.8,6.97,1.73,1.33,2.78,1.11,203
2020-09-13T00:00:00.000Z,2,16.6,3.22,2.7,3.75,1.348,227
2020-09-14T00:00:00.000Z,3.35,12.2,5.39,4.51,6.74,1.65,200
2020-09-15T00:00:00.000Z,4.59,16,6.22,5.78,7.25,1.227,171
2020-09-16T00:00:00.000Z,14.35,19.39,16.09,15.45,17.07,1.194,28
2020-09-17T00:00:00.000Z,3.37,24.77,16.42,11.07,18.48,5.249,119
2020-09-18T00:00:00.000Z,3.28,9.55,5.57,4.88,6.31,1.214,225
2020-09-19T00:00:00.000Z,0.3,26.3,2.78,2.22,3.53,2.064,203
2020-09-20T00:00:00.000Z,0.9,9.35,3.01,1.78,6.27,2.448,172
2020-09-21T00:00:00.000Z,5.75,11.23,8.4,7.1,9.18,1.268,163
2020-09-22T00:00:00.000Z,4.9,11.52,7.18,6.43,8.5,1.422,207
2020-09-23T00:00:00.000Z,2,6.65,3.67,3.17,4.3,0.828,257
2020-09-24T00:00:00.000Z,2.2,7.43,5.31,4.55,6,1.066,258
2020-09-25T00:00:00.000Z,0.95,5.82,2.59,1.92,3.62,1.136,206
2020-09-26T00:00:00.000Z,1.1,5,2.6,2.12,3.12,0.808,177
2020-09-27T00:00:00.000Z,1.12,8.02,2.02,1.65,3.83,1.244,138
2020-09-28T00:00:00.000Z,2.52,6.62,3.82,3.4,4.34,0.677,188
2020-09-29T00:00:00.000Z,1.52,6.53,3.07,2.5,3.97,0.949,174
2020-09-30T00:00:00.000Z,1.1,10.6,2.4,1.86,3.54,1.671,236
2020-10-01T00:00:00.000Z,0.8,7.1,4.34,3.34,4.97,1.187,209
2020-10-02T00:00:00.000Z,0.2,4.22,1.3,1,1.62,0.596,191
2020-10-03T00:00:00.000Z,1,5.53,2.35,2,2.62,0.632,176
