# Sensor Holmsjö, Sweden (Citizen Science project sensor.community/12135)
# https://aqicn.org/station/@59899/
# Daily pm25
date,min,max,pm25,q1,q3,stdev,count
2020-03-14T00:00:00.000Z,0.2,51.45,0.55,0.42,1,8.431,546
2020-03-15T00:00:00.000Z,1.76,24.98,4.15,2.36,4.9,4.715,293
2020-03-16T00:00:00.000Z,0.7,14.4,1.52,1.12,2.44,1.753,584
2020-03-17T00:00:00.000Z,1.01,18.43,2.4,1.55,3.37,2.233,583
2020-03-18T00:00:00.000Z,0.4,18.64,4.74,1.23,7.13,4.237,510
2020-03-19T00:00:00.000Z,0.9,5.6,1.44,1.2,1.75,0.469,563
2020-03-20T00:00:00.000Z,0.24,4.13,0.76,0.63,1.5,0.575,488
2020-03-21T00:00:00.000Z,0.25,1.34,0.74,0.44,0.85,0.237,487
2020-03-22T00:00:00.000Z,0.45,5.46,0.78,0.65,1.07,0.43,470
2020-03-23T00:00:00.000Z,0.64,15.66,1.33,1.14,1.7,1.65,430
2020-03-24T00:00:00.000Z,0.99,13.06,2.7,1.4,3.57,1.758,455
2020-03-25T00:00:00.000Z,3.4,19.69,5,4.47,5.69,1.533,439
2020-03-26T00:00:00.000Z,3.6,14.96,4.98,4.45,6.24,2.109,439
2020-03-27T00:00:00.000Z,4.57,11.5,7.39,6.47,8.44,1.499,384
2020-03-28T00:00:00.000Z,0.3,11.7,4.07,0.87,5.41,2.646,179
2020-03-29T00:00:00.000Z,0.2,1.9,0.7,0.5,0.9,0.326,353
2020-03-30T00:00:00.000Z,0.4,1.22,0.6,0.54,0.76,0.169,139
2020-03-31T00:00:00.000Z,0.48,1.43,0.75,0.65,0.95,0.218,306
2020-04-01T00:00:00.000Z,0.62,5.8,1.55,1.02,2,0.635,199
2020-04-02T00:00:00.000Z,0.5,4.51,1.92,1.6,2.16,0.561,435
2020-04-03T00:00:00.000Z,0.4,3.3,1.26,0.9,2.04,0.707,474
2020-04-04T00:00:00.000Z,0.48,3.99,1.25,0.78,1.5,0.578,534
2020-04-05T00:00:00.000Z,0.9,19.05,2.54,1.54,3.36,4.507,541
2020-04-06T00:00:00.000Z,1.63,10.35,4.5,3.66,4.95,1.324,508
2020-04-07T00:00:00.000Z,0.99,13.54,2.52,1.44,5.3,2.81,455
2020-04-08T00:00:00.000Z,0.9,49.56,1.8,1.6,2.63,4.548,470
2020-04-09T00:00:00.000Z,0.48,74.14,1.43,0.78,2.65,5.005,462
2020-04-10T00:00:00.000Z,0.4,28.17,1.69,0.8,2.08,3.156,446
2020-04-11T00:00:00.000Z,1.32,13.52,3.94,1.91,4.88,1.69,155
2020-04-12T00:00:00.000Z,0.78,239.56,5.22,1.89,6.08,18.172,591
2020-04-13T00:00:00.000Z,0.25,2.37,0.7,0.5,0.86,0.422,586
2020-04-14T00:00:00.000Z,0.35,1.86,0.69,0.6,0.88,0.271,575
2020-04-15T00:00:00.000Z,1.24,3.04,2.27,1.95,2.57,0.417,522
2020-04-16T00:00:00.000Z,0.36,2.18,0.74,0.55,1.51,0.509,521
2020-04-17T00:00:00.000Z,0.2,1.25,0.45,0.37,0.62,0.157,584
2020-04-18T00:00:00.000Z,0.3,13.5,0.74,0.55,1,0.939,590
2020-04-19T00:00:00.000Z,0.25,1.55,0.56,0.44,0.88,0.27,570
2020-04-20T00:00:00.000Z,0.35,1.56,0.62,0.55,0.8,0.264,519
2020-04-21T00:00:00.000Z,0.25,1.9,0.57,0.42,1.34,0.474,379
2020-04-22T00:00:00.000Z,0.3,2.13,0.56,0.5,0.65,0.184,433
