# Sensor Klackens Östergränd, Halmstad, Sweden (Citizen Science project sensor.community/82996)
# https://aqicn.org/station/@415030/
# Daily pm25
date,min,max,pm25,q1,q3,stdev,count
2023-11-30T00:00:00.000Z,0.4,10.7,1.4,0.98,2.8,1.632,590
2023-12-01T00:00:00.000Z,0.95,6.35,1.83,1.6,2.2,0.567,580
2023-12-02T00:00:00.000Z,0.9,10.88,2.1,1.7,2.83,0.967,532
2023-12-03T00:00:00.000Z,0.7,15.18,2.29,1.8,2.92,1.546,586
2023-12-04T00:00:00.000Z,0.6,8,3.13,1.5,5.07,1.895,586
2023-12-05T00:00:00.000Z,0.56,3.65,1.5,1.23,1.91,0.483,576
2023-12-06T00:00:00.000Z,0.2,6.32,1.2,0.6,3.67,1.743,587
2023-12-07T00:00:00.000Z,3.8,13.45,7.18,6.37,9.47,2.141,584
2023-12-08T00:00:00.000Z,4.2,13.1,8.85,6.85,10.48,2.182,587
2023-12-09T00:00:00.000Z,8,20.52,14.5,13.04,15.98,2.147,589
2023-12-10T00:00:00.000Z,2.29,15.63,5.25,4.03,8,2.854,571
2023-12-11T00:00:00.000Z,0.82,7.72,2.13,1.55,2.9,1.654,586
2023-12-12T00:00:00.000Z,0.85,3.53,1.48,1.23,1.85,0.451,581
2023-12-13T00:00:00.000Z,0.88,4.13,1.98,1.63,2.27,0.426,540
2023-12-14T00:00:00.000Z,0.88,8.35,1.92,1.51,2.88,1.105,565
2023-12-15T00:00:00.000Z,2.72,19.89,4.92,4.09,7.27,3.101,540
2023-12-16T00:00:00.000Z,2.7,8.73,4.87,3.7,6.19,1.405,580
2023-12-17T00:00:00.000Z,2.95,10.55,5.13,4.4,6.05,1.151,575
2023-12-18T00:00:00.000Z,1.48,10.13,3.88,3.15,4.73,1.434,557
2023-12-19T00:00:00.000Z,0.82,4.68,2.15,1.77,2.63,0.661,563
2023-12-20T00:00:00.000Z,0.6,4.09,2.13,1.6,2.63,0.706,588
2023-12-21T00:00:00.000Z,0.3,11.52,2.47,1.52,3.17,1.204,586
2023-12-22T00:00:00.000Z,0.1,2.54,0.93,0.56,1.35,0.512,585
2023-12-23T00:00:00.000Z,0.15,10.07,0.7,0.45,2.02,1.681,587
2023-12-24T00:00:00.000Z,0.08,6.7,2.6,1.29,3.88,1.48,577
2023-12-25T00:00:00.000Z,1.12,6.5,3.33,2.63,3.97,0.944,586
2023-12-26T00:00:00.000Z,0,4.68,0.94,0.4,1.6,0.746,486
2023-12-27T00:00:00.000Z,0.28,4.2,1.21,0.8,1.55,0.639,386
2023-12-28T00:00:00.000Z,1,6.4,4.22,3.33,4.75,1.256,143
2023-12-29T00:00:00.000Z,0.85,5.78,2.8,2.27,3.38,0.827,536
2023-12-30T00:00:00.000Z,1.12,6,2.15,1.83,2.54,0.555,575
2023-12-31T00:00:00.000Z,0.3,40.63,1.6,0.93,2.25,1.868,572
2024-01-01T00:00:00.000Z,0,2.8,0.4,0.2,1.02,0.612,568
2024-01-02T00:00:00.000Z,0.2,2.63,1.25,1,1.42,0.363,489
2024-01-03T00:00:00.000Z,0.2,2.85,0.7,0.52,1,0.325,568
2024-01-04T00:00:00.000Z,0.13,2,0.75,0.6,0.95,0.278,573
2024-01-05T00:00:00.000Z,0.2,4.72,1.17,0.95,1.4,0.469,569
2024-01-06T00:00:00.000Z,0.1,5.63,0.9,0.68,1.14,0.509,579
2024-01-07T00:00:00.000Z,0.65,9.5,1.45,1.25,1.77,0.711,583
2024-01-08T00:00:00.000Z,0.77,7.53,2.29,1.4,3.13,1.071,578
2024-01-09T00:00:00.000Z,1.6,8.75,3.33,2.6,4.09,1.714,582
2024-01-10T00:00:00.000Z,2.65,11.23,6.65,4.51,8.02,1.911,581
2024-01-11T00:00:00.000Z,1.05,19.75,4.44,3.25,6.35,2.694,584
2024-01-12T00:00:00.000Z,1.45,30.67,6.2,4.43,10.02,6.072,578
2024-01-13T00:00:00.000Z,0.98,20.25,2.25,1.7,3.55,2.414,580
2024-01-14T00:00:00.000Z,0.6,5.75,1.45,1.23,1.7,0.486,575
2024-01-29T00:00:00.000Z,1.3,8.9,2.9,2.1,5,1.742,586
2024-01-30T00:00:00.000Z,4.45,26.63,11.95,8.59,17.39,5.02,589
2024-01-31T00:00:00.000Z,0.73,9.82,2.67,1.98,4.3,1.635,590
2024-02-01T00:00:00.000Z,1.95,6.68,3.75,3.03,4.34,0.892,557
2024-02-02T00:00:00.000Z,1.9,7.6,4.34,3.67,5,0.98,539
2024-02-03T00:00:00.000Z,1.65,5.72,3.33,2.88,3.7,0.711,572
2024-02-04T00:00:00.000Z,1.02,6.43,2.84,2.1,3.5,0.897,574
2024-02-05T00:00:00.000Z,0.1,4.93,1.9,1.1,2.46,0.925,588
2024-02-06T00:00:00.000Z,0,3.75,0.7,0.34,1.24,0.657,581
2024-02-07T00:00:00.000Z,0.38,11.4,1.1,0.85,1.8,1.173,581
2024-02-08T00:00:00.000Z,0.25,2.6,0.98,0.7,1.27,0.408,557
2024-02-09T00:00:00.000Z,0.15,2.1,0.63,0.5,0.85,0.28,577
2024-02-10T00:00:00.000Z,0.43,4.34,2.72,1.67,3.28,1.01,577
2024-02-11T00:00:00.000Z,0.77,3.08,1.6,1.3,1.98,0.492,313
2024-02-12T00:00:00.000Z,0.38,6.4,1.17,0.9,1.83,1.377,575
2024-02-13T00:00:00.000Z,0.15,9.65,3,1.52,3.75,1.579,578
2024-02-14T00:00:00.000Z,3.1,17.1,9.27,7.7,10.38,2.318,583
2024-02-15T00:00:00.000Z,2.04,13.07,4.29,3.24,6.39,2.56,568
2024-02-16T00:00:00.000Z,0.35,13.82,6.15,5.28,8.15,2.757,581
2024-02-17T00:00:00.000Z,0,17.45,0.8,0.22,2.65,3.277,578
2024-02-18T00:00:00.000Z,0.1,10.38,1.45,0.45,2.47,1.469,579
2024-02-19T00:00:00.000Z,0.4,5.82,1.98,1.2,3.05,1.129,584
2024-02-20T00:00:00.000Z,1,6.5,3.38,2.65,4.22,1.193,580
2024-02-21T00:00:00.000Z,0.85,8.65,2.64,2,4.82,1.992,584
2024-02-22T00:00:00.000Z,1.2,11.07,4.94,3,6.95,2.366,578
2024-02-23T00:00:00.000Z,0.22,2.97,1.23,0.9,1.52,0.494,566
2024-02-24T00:00:00.000Z,0.6,2.78,1.2,1,1.45,0.361,582
2024-02-25T00:00:00.000Z,0.45,6.47,2.49,1.14,4.15,1.615,586
2024-02-26T00:00:00.000Z,2.97,12.52,7.55,6.21,8.74,1.699,304
2024-02-27T00:00:00.000Z,2.2,6.6,3.17,2.52,5.12,1.431,37
2024-02-28T00:00:00.000Z,2.8,17.57,10.19,7.65,11.68,3.101,582
2024-02-29T00:00:00.000Z,5.5,15.52,9.05,7.5,11.23,2.321,585
2024-03-01T00:00:00.000Z,7.15,29.7,21.03,12.27,24.65,6.138,526
2024-03-02T00:00:00.000Z,5,33.22,24.64,10.74,28.1,8.726,576
2024-03-03T00:00:00.000Z,8.43,26.13,16.82,12.82,18.82,3.764,575
2024-03-04T00:00:00.000Z,1.9,10.63,4.65,2.84,6.03,1.984,557
2024-03-05T00:00:00.000Z,2.04,4.68,3,2.7,3.38,0.464,569
2024-03-06T00:00:00.000Z,1.8,8.38,2.88,2.58,3.25,0.896,554
2024-03-07T00:00:00.000Z,1.3,8.9,2.45,2.1,3.22,1.388,551
2024-03-08T00:00:00.000Z,0.82,4.05,1.77,1.5,2.4,0.669,555
2024-03-09T00:00:00.000Z,0.15,4.72,1.55,0.76,2.16,1.038,564
2024-03-10T00:00:00.000Z,1,5.6,3.25,2.02,4,1.121,558
2024-03-11T00:00:00.000Z,1.4,4.63,2.7,2.35,3.03,0.491,533
2024-03-12T00:00:00.000Z,1,6.78,2.29,1.6,2.97,1.063,561
2024-03-13T00:00:00.000Z,5.72,20.3,12.45,9.6,16.6,3.855,563
2024-03-14T00:00:00.000Z,7.75,21.52,12.26,11.38,13.25,2.336,564
2024-03-15T00:00:00.000Z,8.23,22.45,12.19,10.48,14.9,3.393,570
2024-03-16T00:00:00.000Z,0,11.85,2.13,0.8,6.85,3.392,571
2024-03-17T00:00:00.000Z,0,1,0.2,0.1,0.3,0.143,530
2024-03-18T00:00:00.000Z,0.03,2.63,0.47,0.3,0.75,0.445,563
2024-03-19T00:00:00.000Z,0.82,7.07,2.33,1.7,4.45,1.59,556
2024-03-20T00:00:00.000Z,0.08,22.63,5.74,1,10.32,5.821,570
2024-03-21T00:00:00.000Z,1.02,8.13,4.05,2.78,5.78,1.701,570
2024-03-22T00:00:00.000Z,1.14,15.25,4.87,3.78,8.63,3.268,492
2024-03-23T00:00:00.000Z,0.5,5.4,2.38,1.57,3.13,0.923,525
2024-03-24T00:00:00.000Z,1,4.57,2.17,1.83,2.54,0.5,552
2024-03-25T00:00:00.000Z,0.25,6.6,2.19,1,3.97,1.692,576
2024-03-26T00:00:00.000Z,0.88,6.6,3.53,2.22,5.12,1.536,572
2024-03-27T00:00:00.000Z,2.25,6.88,4.09,3.3,5.34,1.139,577
2024-03-28T00:00:00.000Z,0.7,17.13,5.39,4.32,6.45,3.23,574
2024-03-29T00:00:00.000Z,1,9.52,2.95,1.88,5.3,2.145,363
2024-03-30T00:00:00.000Z,0.2,14.73,0.9,0.56,1.45,1.095,565
2024-03-31T00:00:00.000Z,1.2,21.48,4.34,1.88,9.6,4.278,566
2024-04-01T00:00:00.000Z,1.35,17.32,3.28,2.42,8.18,3.926,515
2024-04-02T00:00:00.000Z,0,1.63,0.2,0,0.5,0.306,570
2024-04-03T00:00:00.000Z,0.43,4,1.15,0.88,1.55,0.638,564
2024-04-04T00:00:00.000Z,0.2,2.5,0.85,0.6,1.2,0.459,574
2024-04-05T00:00:00.000Z,0.5,6.7,1.85,1.35,3.33,1.27,564
2024-04-06T00:00:00.000Z,1.1,41.2,3.3,2.24,4.8,2.961,572
2024-04-07T00:00:00.000Z,0.5,4.47,1.88,1.5,2.52,0.741,570
2024-04-08T00:00:00.000Z,0.7,5.5,1.8,1.5,2.15,0.611,567
2024-04-09T00:00:00.000Z,0.7,14.43,2.2,1.38,3.38,2.38,563
2024-04-10T00:00:00.000Z,0.4,8.55,1.8,1.4,2.45,1.361,551
2024-04-11T00:00:00.000Z,1.48,7.55,4.55,3,5.46,1.443,545
2024-04-12T00:00:00.000Z,2.1,14.23,6.47,4.84,8.61,2.633,556
2024-04-13T00:00:00.000Z,2.2,15.35,5.18,4.09,8.23,2.706,575
