date, pm25, pm10, no2
2023/11/9, 18, 9, 9
2023/11/10, 26, 14, 10
2023/11/11, 34, 5, 4
2023/11/12, 15, 5, 6
2023/11/13, 12, 4, 8
2023/11/14, 11, 6, 9
2023/11/15, 17, 7, 9
2023/11/16, 19, 16, 14
2023/11/17, 23, 10, 10
2023/11/18, 25, 11, 10
2023/11/19, 29, 9, 15
2023/11/20, 25, 6, 10
2023/11/21, 16, 8, 10
2023/11/22, 19, 4, 11
2023/11/23, 8, 10, 6
2023/11/24, 12, 4, 4
2023/11/25, 12, 3, 7
2023/11/26, 9, 5, 8
2023/11/27, 15, 7, 10
2023/11/28, 19, 8, 19
2023/11/29, 24, 6, 8
2023/11/30, 19, 6, 10
2023/12/1, 18, 7, 7
2023/12/2, 22, 6, 7
2023/12/3, 20, 9, 12
2023/12/4, 25, 16, 14
2023/12/5, 42, 21, 21
2023/12/6, 50, 14, 18
2023/12/7, 41, 13, 10
2023/12/8, 41, 10, 4
2023/12/9, 34, 19, 9
2023/12/10, 55, 11, 11
2023/12/11, 35, 9, 9
2023/12/12, 28, 7, 8
2023/12/13, 23, 6, 11
2023/12/14, 19, 8, 14
2023/12/15, 25, 5, 6
2023/12/16, 15, 5, 10
2023/12/17, 14, 4, 9
2023/12/18, 11, 9, 9
2023/12/19, 11, 7, 16
2023/12/20, 19, 5, 8
2023/12/21, 14, 2, 7
2023/12/22, 7, 3, 4
2023/12/23, 9, 5, 7
2023/12/24, 17, 5, 10
2023/12/25, 16, 5, 7
2023/12/26, 14, 3, 9
2023/12/27, 10, 5, 7
2023/12/28, 14, 7, 17
2023/12/29, 19, 6, 7
2023/12/30, 20, 6, 6
2023/12/31, 17, 17, 4
2023/7/1, 25, 11, 8
2023/7/2, 25, 9, 8
2023/7/3, 17, 15, 6
2023/7/4, 18, 14, 7
2023/7/5, 24, 11, 6
2023/7/6, 20, 14, 8
2023/7/7, 22, 13, 7
2023/7/8, 23, 10, 6
2023/7/9, 19, 8, 6
2023/7/10, 13, 11, 4
2023/7/11, 19, 13, 3
2023/7/12, 24, 11, 7
2023/7/13, 20, 10, 7
2023/7/14, 17, 8, 4
2023/7/15, 15, 10, 3
2023/7/16, 22, 12, 6
2023/7/17, 22, 11, 5
2023/7/18, 14, 9, 5
2023/7/19, 14, 9, 6
2023/7/20, 14, 9, 7
2023/7/21, 15, 7, 4
2023/7/22, 12, 7, 4
2023/7/23, 13, 6, 5
2023/7/24, 14, 13, 9
2023/7/25, 30, 10, 7
2023/7/26, 16, 9, 6
2023/7/27, 14, 7, 8
2023/7/28, 14, 7, 7
2023/7/29, 13, 10, 8
2023/7/30, 23, 12, 10
2023/7/31, 30, 8, 6
2023/8/1, 16, 6, 4
2023/8/2, 12, 9,
2023/8/3, 24, 8,
2023/8/4, 18, 11,
2023/8/5, 23, 12,
2023/8/6, 32, 21, 6
2023/8/7, 49, 4, 4
2023/8/8, 8, 6, 3
2023/8/9, 12, 4, 3
2023/8/10, 10, 7, 7
2023/8/11, 12, 7, 6
2023/8/12, 14, 7, 9
2023/8/13, 11, 12, 11
2023/8/14, 22, 12, 7
2023/8/15, 25, 15, 11
2023/8/16, 31, 10, 9
2023/8/17, 18, 8, 7
2023/8/18, 20, 10, 6
2023/8/19, 24, 10, 6
2023/8/20, 27, 13, 10
2023/8/21, 28, 12, 8
2023/8/22, 24, 11, 9
2023/8/23, 23, 11, 10
2023/8/24, 21, 13, 11
2023/8/25, 32, 11, 8
2023/8/26, 31, 9, 7
2023/8/27, 21, 8, 11
2023/8/28, 18, 11, 11
2023/8/29, 19, 9, 13
2023/8/30, 20, 8, 11
2023/8/31, 16, 9, 15
2023/9/1, 21, 6, 7
2023/9/2, 15, 5, 8
2023/9/3, 10, 9, 10
2023/9/4, 16, 9, 10
2023/9/5, 16, 8, 12
2023/9/6, 10, 11, 10
2023/9/7, 14, 15, 12
2023/9/8, 32, 15, 8
2023/9/9, 39, 23, 10
2023/9/10, 55, 20, 9
2023/9/11, 49, 19, 11
2023/9/12, 48, 7, 11
2023/9/13, 17, 7, 11
2023/9/14, 10, 11, 11
2023/9/15, 15, 9, 6
2023/9/16, 17, 7, 8
2023/9/17, 13, 6, 8
2023/9/18, 12, 17, 6
2023/9/19, 35, 6, 8
2023/9/20, 11, 13, 5
2023/9/21, 29, 20, 4
2023/9/22, 48, 9, 9
2023/9/23, 21, 6, 5
2023/9/24, 11, 19, 7
2023/9/25, 21, 28, 12
2023/9/26, 39, 31, 9
2023/9/27, 49, 24, 9
2023/9/28, 56, 23, 8
2023/9/29, 50, 10, 6
2023/9/30, 21, 5, 8
2023/4/5, 23, 30, 13
2023/4/6, 33, 8, 7
2023/4/7, 20, 73, 12
2023/4/8, 39, 139, 15
2023/4/9, 66, 77, 12
2023/4/10, 58, 55, 7
2023/4/11, 54, 48, 9
2023/4/12, 62, 23, 12
2023/4/13, 48, 15, 11
2023/4/14, 37, 41, 8
2023/4/15, 44, 48, 10
2023/4/16, 44, 65, 13
2023/4/17, 47, 46, 8
2023/4/18, 27, 46, 14
2023/4/19, 29, 107, 21
2023/4/20, 56, 90, 20
2023/4/21, 56, 56, 8
2023/4/22, 38, 42, 2
2023/4/23, 41, 10, 3
2023/4/24, 25, 15, 4
2023/4/25, 35, 34, 3
2023/4/26, 29, 32, 4
2023/4/27, 21, 28, 2
2023/4/28, 20, 36, 1
2023/4/29, 25, 23,
2023/4/30, 18, 24,
2023/5/1, 30, 18,
2023/5/2, 13, 30,
2023/5/3, 19, 47,
2023/5/4, 27, 52, 6
2023/5/5, 35, 38, 8
2023/5/6, 27, 30, 7
2023/5/7, 25, 44, 11
2023/5/8, 32, 54, 9
2023/5/9, 43, 44, 9
2023/5/10, 43, 46, 11
2023/5/11, 39, 40, 16
2023/5/12, 38, 37, 10
2023/5/13, 41, 36, 11
2023/5/14, 43, 45, 10
2023/5/15, 50, 23, 16
2023/5/16, 48, 10, 12
2023/5/17, 24, 12, 6
2023/5/18, 10, 19, 5
2023/5/19, 17, 16, 2
2023/5/20, 16, 25, 9
2023/5/21, 23, 36, 13
2023/5/22, 31, 28, 9
2023/5/23, 28, 40, 14
2023/5/24, 41, 30, 9
2023/5/25, 24, 31, 7
2023/5/26, 18, 23, 5
2023/5/27, 16, 23, 6
2023/5/28, 24, 24, 9
2023/5/29, 15, 25, 8
2023/5/30, 19, 25, 8
2023/5/31, 15, 29, 7
2023/6/1, 16, 18, 6
2023/6/2, 10, 13, 5
2023/6/3, 12, 10, 5
2023/6/4, 10, 23, 8
2023/6/5, 16, 21, 8
2023/6/6, 23, 17, 8
2023/6/7, 12, 23, 10
2023/6/8, 20, 17, 9
2023/6/9, 13, 13, 6
2023/6/10, 12, 17, 6
2023/6/11, 16, 22, 10
2023/6/12, 20, 26, 12
2023/6/13, 23, 30, 14
2023/6/14, 30, 36, 17
2023/6/15, 36, 29, 17
2023/6/16, 37, 24, 11
2023/6/17, 34, 25, 11
2023/6/18, 54, 26, 11
2023/6/19, 58, 24, 14
2023/6/20, 42, 21, 10
2023/6/21, 41, 22, 10
2023/6/22, 32, 13, 6
2023/6/23, 23, 9, 5
2023/6/24, 15, 9, 6
2023/6/25, 17, 15, 10
2023/6/26, 20, 15, 9
2023/6/27, 27, 19, 8
2023/6/28, 32, 20, 7
2023/6/29, 30, 20, 10
2023/6/30, 27, 15, 5
2023/1/2, 19, 3, 8
2023/1/3, 9, 5, 11
2023/1/4, 15, 7, 9
2023/1/5, 19, 7, 4
2023/1/6, 21, 11, 3
2023/1/7, 34, 11, 3
2023/1/8, 34, 13, 6
2023/1/9, 39, 6, 10
2023/1/10, 19, 5, 4
2023/1/11, 14, 7, 8
2023/1/12, 20, 6, 7
2023/1/13, 18, 4, 7
2023/1/14, 13, 4, 2
2023/1/15, 13, 6, 9
2023/1/16, 12, 9, 4
2023/1/17, 25, 9, 6
2023/1/18, 17, 12, 17
2023/1/19, 29, 14, 16
2023/1/20, 35, 13, 8
2023/1/21, 40, 15, 8
2023/1/22, 40, 17, 8
2023/1/23, 42, 7, 8
2023/1/24, 23, 3, 7
2023/1/25, 9, 10, 10
2023/1/26, 14, 8, 16
2023/1/27, 20, 5, 11
2023/1/28, 14, 5, 6
2023/1/29, 13, 32, 6
2023/1/30, 18, 53, 14
2023/1/31, 33, 13, 19
2023/2/1, 32, 4, 11
2023/2/2, 10, 9, 16
2023/2/3, 24, 7, 8
2023/2/4, 16, 23, 8
2023/2/5, 25, 11, 18
2023/2/6, 27, 10, 10
2023/2/7, 29, 12, 10
2023/2/8, 35, 35, 7
2023/2/9, 45, 48, 8
2023/2/10, 27, 5, 10
2023/2/11, 13, 6, 10
2023/2/12, 19, 5, 12
2023/2/13, 10, 18, 18
2023/2/14, 22, 13, 11
2023/2/15, 35, 18, 12
2023/2/16, 48, 15, 8
2023/2/17, 44, 8, 3
2023/2/18, 6, 35, 6
2023/2/19, 16, 9, 8
2023/2/20, 8, 7, 11
2023/2/21, 21, 35, 11
2023/2/22, 38, 9, 12
2023/2/23, 23, 7, 12
2023/2/24, 21, 4, 5
2023/2/25, 11, 9, 7
2023/2/26, 12, 7, 21
2023/2/27, 14, 20, 15
2023/2/28, 13, 50, 13
2023/3/1, 26, 55, 11
2023/3/2, 28, 50, 7
2023/3/3, 26, 29, 2
2023/3/4, 14, 20, 5
2023/3/5, 14, 14, 11
2023/3/6, 13, 24, 12
2023/3/7, 30, 4, 7
2023/3/8, 14, 6, 18
2023/3/9, 17, 7, 17
2023/3/10, 19, 10, 16
2023/3/11, 26, 15, 10
2023/3/12, 16, 8, 6
2023/3/13, 11, 3, 11
2023/3/14, 9, 26, 13
2023/3/15, 14, 77, 22
2023/3/16, 40, 31, 5
2023/3/17, 30, 24, 8
2023/3/18, 63, 16, 9
2023/3/19, 42, 7, 9
2023/3/20, 20, 24, 12
2023/3/21, 24, 7, 7
2023/3/22, 19, 38, 11
2023/3/23, 34, 15, 8
2023/3/24, 23, 4, 8
2023/3/25, 12, 12, 5
2023/3/26, 14, 6, 5
2023/3/27, 15, ,
2022/10/1, 29, 19, 11
2022/10/2, 52, 20, 13
2022/10/3, 50, 10, 13
2022/10/4, 16, 10, 7
2022/10/5, 24, 11, 10
2022/10/6, 16, 13, 7
2022/10/7, 25, 7, 7
2022/10/8, 15, 5, 8
2022/10/9, 9, 9, 6
2022/10/10, 18, 8, 10
2022/10/11, 15, 8, 17
2022/10/12, 13, 12, 10
2022/10/13, 25, 22, 13
2022/10/14, 52, 23, 6
2022/10/15, 55, 10, 4
2022/10/16, 27, 8, 11
2022/10/17, 15, 3, 13
2022/10/18, 8, 5, 11
2022/10/19, 7, 8, 17
2022/10/20, 15, 10, 16
2022/10/21, 24, 15, 9
2022/10/22, 39, 9, 11
2022/10/23, 24, 4, 8
2022/10/24, 12, 9, 8
2022/10/25, 24, 3, 8
2022/10/26, 9, 12, 11
2022/10/27, 28, 11, 10
2022/10/28, 30, 6, 5
2022/10/29, 12, 8, 14
2022/10/30, 14, 11, 13
2022/10/31, 29, 11, 14
2022/11/1, 27, 14, 10
2022/11/2, 36, 12, 12
2022/11/3, 29, 9, 4
2022/11/4, 23, 7, 4
2022/11/5, 21, 5, 3
2022/11/6, 15, 9, 6
2022/11/7, 24, 5, 10
2022/11/8, 13, 13, 9
2022/11/9, 33, 11, 11
2022/11/10, 26, 7, 7
2022/11/11, 17, 11, 8
2022/11/12, 25, 13, 12
2022/11/13, 27, 9, 11
2022/11/14, 22, 6, 7
2022/11/15, 11, 6, 10
2022/11/16, 11, 5, 10
2022/11/17, 12, 6, 9
2022/11/18, 11, 7, 5
2022/11/19, 17, 4, 5
2022/11/20, 13, 9, 8
2022/11/21, 29, 13, 12
2022/11/22, 38, 6, 10
2022/11/23, 18, 7, 11
2022/11/24, 21, 8, 11
2022/11/25, 24, 10, 9
2022/11/26, 30, 10, 9
2022/11/27, 33, 11, 8
2022/11/28, 34, 8, 7
2022/11/29, 26, 11, 16
2022/11/30, 33, 9, 13
2022/12/1, 28, 15, 11
2022/12/2, 42, 29, 7
2022/12/3, 39, 16, 7
2022/12/4, 36, 17, 13
2022/12/5, 40, 17, 14
2022/12/6, 34, 15, 15
2022/12/7, 33, 13, 16
2022/12/8, 31, 14, 19
2022/12/9, 40, 7, 7
2022/12/10, 24, 8, 7
2022/12/11, 27, 7, 7
2022/12/12, 21, 9, 7
2022/12/13, 22, 9, 15
2022/12/14, 26, 11, 20
2022/12/15, 32, 15, 19
2022/12/16, 42, 9, 8
2022/12/17, 26, 11, 6
2022/12/18, 32, 13, 9
2022/12/19, 38, 12, 10
2022/12/20, 34, 8, 11
2022/12/21, 20, 7, 11
2022/12/22, 21, 6, 9
2022/12/23, 16, 10, 9
2022/12/24, 25, 12, 6
2022/12/25, 32, 9, 2
2022/12/26, 29, 4, 7
2022/12/27, 10, 10, 15
2022/12/28, 23, 4, 6
2022/12/29, 14, 5, 8
2022/12/30, 14, 8, 3
2022/12/31, 21, 10, 12
2023/1/1, 24, 7, 11
2022/7/1, 43, 15, 6
2022/7/2, 33, 11, 7
2022/7/3, 16, 10, 9
2022/7/4, 19, 9, 7
2022/7/5, 13, 11, 9
2022/7/6, 15, 8, 13
2022/7/7, 15, 10, 11
2022/7/8, 16, 7, 5
2022/7/9, 10, 5, 5
2022/7/10, 6, 10, 10
2022/7/11, 14, 9, 9
