date, pm25, pm10, o3, no2, so2, co
2023/12/2, 120, 78, 4, 7, 8, 2
2023/12/3, 131, 88, 4, 9, 8, 2
2023/12/4, 131, 86, 4, 8, 9, 2
2023/12/5, 132, 78, 4, 6, 9, 2
2023/12/7, 101, 66, 4, 5, 5, 1
2023/12/8, 107, 67, 4, 5, 5, 1
2023/12/9, 110, 74, 4, 6, 5, 1
2023/12/10, 111, 71, 4, 6, 5, 1
2023/12/11, 121, 79, 4, 7, 5, 2
2023/12/12, 108, 73, 4, 6, 5, 2
2023/12/14, 100, 64, 3, 5, 3, 1
2023/12/15, 125, 81, 4, 7, 2, 2
2023/12/16, 118, 74, 4, 7, , 1
2023/12/17, 132, 75, 4, 6, 1, 1
2023/12/18, 140, 75, 4, 5, , 1
2023/12/19, 129, 75, 5, 6, 1, 1
2023/12/20, 109, 71, 5, 5, , 1
2023/12/21, 126, 73, 6, 6, 1, 2
2023/12/22, 158, 98, 5, 11, 1, 3
2023/12/23, 152, 85, 6, 9, 2, 2
2023/12/24, 149, 82, 4, 8, 3, 2
2023/12/25, 152, 82, 4, 9, 2, 2
2023/12/26, 159, 88, 4, 10, 2, 2
2023/12/27, 161, 89, 4, 10, 3, 3
2023/12/28, 166, 99, 4, 10, 4, 2
2023/12/29, 173, 107, 4, 11, 5, 3
2023/12/30, 165, 103, 4, 11, 3, 3
2023/12/31, 143, 78, 3, 8, 4, 2
2023/7/1, 48, 35, 4, 16, , 2
2023/7/2, 41, 31, 4, 14, , 2
2023/7/3, 37, 29, 4, 18, , 2
2023/7/4, 43, 31, 4, 43, 10, 2
2023/7/5, 48, 28, 4, 20, 21, 2
2023/7/6, 42, 31, 4, 23, 4, 2
2023/7/7, 44, 52, 4, 30, , 2
2023/7/8, 64, 51, 4, 32, , 2
2023/7/9, 57, 50, 4, 34, , 2
2023/7/10, 54, 46, 4, 38, , 2
2023/7/11, 54, 43, 4, 39, 4, 2
2023/7/12, 45, 34, 4, 39, 1, 3
2023/7/13, 44, 26, 4, 37, 10, 2
2023/7/14, 42, 42, 4, 32, 14, 2
2023/7/15, 50, 35, 4, 33, 17, 2
2023/7/16, 43, 24, 4, 40, 18, 2
2023/7/17, 33, 37, 4, 43, 19, 2
2023/7/18, 38, 44, 4, 42, 21, 2
2023/7/19, 51, 48, 4, 44, , 2
2023/7/20, 57, 33, 4, 48, 1, 2
2023/7/21, 49, 47, 4, 51, 15, 2
2023/7/22, 49, 23, 4, , 7, 3
2023/7/23, 28, 40, 4, , , 2
2023/7/24, 43, 41, 4, , , 3
2023/7/25, 45, 27, 4, , , 2
2023/7/26, 35, 32, 4, 22, 13, 2
2023/7/27, 43, 35, 4, , 13, 3
2023/7/28, 44, 44, 4, , 13, 2
2023/7/29, 45, 42, 4, , 13, 2
2023/7/30, 45, 44, 4, , 10, 2
2023/7/31, 49, 37, 4, , 10, 2
2023/8/1, 41, 48, 4, , 10, 2
2023/8/2, 47, 47, 4, , 10, 2
2023/8/3, 54, 42, 4, , 10, 3
2023/8/4, 53, 49, 4, , 11, 3
2023/8/5, 50, 50, 4, , 10, 3
2023/8/12, 32, 43, 4, , 13, 4
2023/8/13, 35, 44, 4, , 13, 4
2023/8/14, 56, 40, 4, , 13, 4
2023/8/15, 40, 35, 4, , 13, 3
2023/8/16, 38, 23, 4, , 13, 3
2023/8/17, 34, 16, 4, , 13, 3
2023/8/18, 28, 16, 4, , 13, 3
2023/8/19, 42, 16, 4, , 13, 3
2023/8/20, 41, 16, 4, , 13, 4
2023/8/21, 44, 16, 4, , 13, 4
2023/8/22, 36, 16, 4, , 13, 3
2023/8/23, 31, 16, 4, , 13, 3
2023/8/24, 26, 16, 4, , 13, 3
2023/8/25, 29, 16, 4, , 13, 3
2023/8/26, 20, 16, 4, , 13, 3
2023/8/27, 23, 16, , , , 
2023/8/28, 31, 16, 4, , 13, 3
2023/8/29, 43, 16, 4, , 13, 4
2023/8/30, 57, 37, 4, , 13, 3
2023/8/31, 52, 59, 4, 1, 13, 3
2023/9/1, 31, , 4, , 13, 4
2023/9/2, 16, , 4, , 13, 4
2023/9/3, 30, , 4, , 13, 3
2023/9/4, 15, , 4, , 13, 3
