date, pm25, pm10, o3, no2, co
2019/2/27, 117, 54, , 8, 
2019/2/28, 122, 52, , 13, 
2019/3/1, 117, 55, , 15, 
2019/3/2, 132, 51, , 5, 
2019/3/3, 112, 52, , 11, 
2019/3/4, 107, 50, , 13, 
2019/3/5, 109, 34, , 18, 
2019/3/6, 78, 30, , 7, 
2019/3/7, 72, 33, , 7, 
2019/3/8, 61, 19, , 7, 
2019/3/9, 38, 22, , , 
2019/3/10, 57, 25, , 6, 
2019/3/11, 57, 16, , 6, 
2019/3/12, 42, 22, , 13, 
2019/3/13, 38, 22, , 10, 
2019/3/14, 68, 24, , 21, 
2019/3/15, 70, 40, , 11, 
2019/3/16, 97, 24, , 11, 
2019/3/17, 63, 10, , 10, 
2019/3/18, 30, 15, , 14, 
2019/3/19, 46, 20, , 27, 
2019/3/20, 42, 34, , 9, 
2019/3/21, 65, 41, , 13, 
2019/3/22, 91, 34, , 11, 
2019/3/23, 80, 31, , 8, 
2019/3/24, 82, 35, , 7, 
2019/3/25, 82, 7, , 5, 
2019/3/27, 46, 18, , 7, 
2019/3/28, 46, 22, , 17, 
2019/3/29, 59, 30, , 14, 
2019/3/30, 74, 34, , 14, 
2019/3/31, 82, 27, , 13, 
2018/10/1, 50, 4, 30, 6, 
2018/10/2, 30, , 31, 21, 
2018/10/5, 68, 13, 19, 9, 
2018/10/6, 68, 18, 32, 11, 
2018/10/7, 82, 10, 32, 12, 
2018/10/8, 68, 16, 36, 13, 
2018/10/9, 87, 23, 36, 11, 
2018/10/10, 122, 22, 32, 9, 
2018/10/11, 102, 29, 29, 18, 
2018/10/12, 142, 21, 39, 14, 
2018/10/13, 114, 23, 37, 7, 
2018/10/14, 114, 20, 30, 12, 
2018/10/15, 117, 19, 18, 15, 
2018/10/16, 112, 28, 16, 11, 
2018/10/17, 117, 28, 22, 13, 
2018/10/18, 112, 28, 32, 15, 
2018/10/19, 117, 30, 35, 12, 
2018/10/20, 124, 25, 29, 10, 
2018/10/21, 107, 11, 27, 13, 
2018/10/22, 85, 20, 25, 19, 
2018/10/23, 89, 26, 23, 17, 
2018/10/24, 112, 22, 25, 13, 
2018/10/25, 97, 10, 15, 14, 
2018/10/26, 68, 11, 24, 17, 
2018/10/27, 57, 5, 30, 2, 
2018/10/28, 42, 6, 27, 4, 
2018/10/29, 61, 4, 26, 11, 
2018/10/30, 34, 10, 21, 15, 
2018/10/31, 59, 10, 24, 12, 
2018/11/1, 68, 16, 9, 15, 
2018/11/2, 80, 13, 8, 11, 
2018/11/3, 61, 10, 9, 13, 
2018/11/4, 65, 11, 19, 11, 
2018/11/5, 63, 10, 19, 10, 
2018/11/6, 59, 12, 22, 16, 
2018/11/7, 74, 15, 19, 19, 
2018/11/8, 74, 17, 15, , 
2018/11/9, 74, 18, 19, , 
2018/11/10, 78, 22, 19, , 
2018/11/11, 85, 26, 15, , 
2018/11/12, 99, 18, 12, 18, 
2018/11/13, 104, 25, 9, 17, 
2018/11/14, 119, 14, 5, 17, 
2018/11/15, 72, 12, 24, 16, 
2018/11/16, 65, 9, 24, 9, 
2018/11/17, 57, 13, 24, 8, 
2018/11/18, 61, 16, 15, 17, 
2018/11/19, 68, , 19, 11, 
2018/11/20, 42, 22, 9, 19, 
2018/11/21, 78, 26, 5, 18, 
2018/11/22, 93, 25, 6, 25, 
2018/11/23, 89, 14, 14, 12, 
2018/11/24, 63, 19, 6, 13, 
2018/11/25, 72, 21, 12, 15, 
2018/11/26, 78, 19, 6, 16, 
2018/11/27, 74, 19, 8, 17, 
2018/11/28, 72, 25, 13, 19, 
2018/11/29, 99, 32, 6, 28, 
2018/11/30, 107, 46, 3, 27, 
2018/12/1, 152, 50, 3, 24, 
2018/12/2, 74, , 7, 19, 
2018/12/5, 154, 22, 2, , 
2018/12/6, 95, 19, 2, 22, 
2018/12/7, 91, 25, 11, 22, 
2018/12/8, 99, 20, 6, 18, 
2018/12/9, 87, 6, 19, 1, 
2018/12/10, 34, 11, 14, 26, 
2018/12/11, 65, 24, 5, 24, 
2018/12/12, 107, 22, 6, 19, 
2018/12/13, 95, 24, 8, 21, 
2018/12/14, 95, 40, 6, 25, 
2018/12/15, 149, 50, 2, 22, 
2018/12/16, 156, 43, 4, 19, 
2018/12/17, 152, 30, 2, 25, 
2018/12/18, 119, 34, 2, 25, 
2018/12/19, 127, 33, 2, 27, 
2018/12/20, 124, 24, 2, 25, 
2018/12/21, 112, 37, 4, 19, 
2018/12/22, 132, 30, 5, 15, 
2018/12/23, 127, 13, 5, 19, 
2018/12/24, 70, 8, 7, 13, 
2018/12/25, 63, 13, 8, 10, 
2018/12/26, 74, 16, 7, 13, 
2018/12/27, 85, 31, 3, 18, 
2018/12/28, 144, 39, 2, 22, 
2018/12/29, 122, 41, 2, 19, 
2018/12/30, 155, , , , 
2018/7/1, 59, 10, 49, 3, 
2018/7/2, 59, 13, 53, 2, 
2018/7/3, 70, 8, 59, 4, 
2018/7/4, 53, 10, 53, 6, 
2018/7/5, 65, 9, 45, 6, 
2018/7/6, 63, 9, 49, 6, 
2018/7/7, 68, 8, 49, 4, 
2018/7/8, 68, 8, 50, 3, 
2018/7/9, 70, 9, 51, 4, 
2018/7/10, 63, 7, 40, 4, 
2018/7/11, 55, 10, 46, 4, 
2018/7/12, 68, 10, 55, 4, 
2018/7/13, 63, 10, 61, 4, 
2018/7/14, 63, 11, 57, 9, 
2018/7/15, 63, 5, 39, 1, 
2018/7/16, 42, 11, 55, 6, 
2018/7/17, 68, 13, 73, 7, 
2018/7/18, 70, 14, 70, 6, 
2018/7/19, 80, 15, 73, 6, 
2018/7/20, 74, 9, 47, 4, 
2018/7/21, 59, 7, 49, 6, 
2018/7/22, 50, 5, 53, 3, 
2018/7/23, 38, 10, 65, 6, 
2018/7/24, 65, 12, 72, 6, 
2018/7/25, 63, 12, 57, 6, 
2018/7/26, 76, 10, 57, 7, 
2018/7/27, 57, 14, 69, 6, 
2018/7/28, 76, 15, 64, 11, 
2018/7/29, 72, 16, 64, 6, 
2018/7/30, 91, 18, 78, 10, 
2018/7/31, 95, 17, 87, 8, 
2018/8/1, 91, 13, 51, 7, 
2018/8/2, 74, 13, 48, 4, 
2018/8/3, 76, 12, 63, 6, 
2018/8/4, 74, 12, 63, 6, 
2018/8/5, 72, 13, 59, , 
2018/8/6, 74, 15, 59, , 
2018/8/7, 85, , 64, 5, 
2018/8/9, 76, 10, 56, 7, 
2018/8/10, 68, 9, 60, 10, 
2018/8/11, 72, 7, 46, 6, 
2018/8/12, 59, 9, 46, 8, 
2018/8/13, 61, 8, 26, 6, 
2018/8/14, 57, 6, 37, 6, 
2018/8/15, 42, 7, 46, 6, 
2018/8/16, 50, 10, 55, 7, 
2018/8/17, 65, 10, 58, 6, 
2018/8/18, 65, 14, 51, 7, 
2018/8/19, 78, 13, 60, 5, 
2018/8/20, 80, 12, 59, 6, 
2018/8/21, 80, 14, 70, 7, 
2018/8/22, 99, 12, 68, , 
2018/8/23, 87, 11, 66, , 
2018/8/24, 80, 6, 44, , 
2018/8/25, 38, 2, 32, , 
2018/8/26, 13, 5, 39, , 
2018/8/27, 53, 9, 46, 5, 
2018/8/28, 70, 10, 49, 7, 
2018/8/29, 78, 10, 53, 6, 
2018/8/30, 74, 10, 39, 5, 
2018/8/31, 53, 5, 37, 4, 
2018/9/1, 34, 4, 33, 3, 
2018/9/2, 30, 6, 40, 3, 
2018/9/3, 34, 9, 46, 6, 
2018/9/4, 63, 13, 51, 6, 
2018/9/6, 70, 12, 40, 3, 
2018/9/7, 68, 8, 49, 4, 
2018/9/8, 59, 9, 57, 9, 
2018/9/9, 68, 12, 57, 5, 
2018/9/10, 72, 14, 68, 6, 
2018/9/11, 85, , , 6, 
2018/9/14, 127, 10, 43, 6, 
2018/9/15, 68, 10, 49, 8, 
2018/9/16, 74, 12, 44, , 
2018/9/17, 76, 9, 42, , 
2018/9/18, 63, 11, 45, 6, 
2018/9/19, 74, 12, 50, 7, 
2018/9/20, 78, 16, 48, 9, 
2018/9/21, 93, 13, 49, 8, 
2018/9/22, 78, 13, 40, 3, 
2018/9/23, 61, 8, 30, 4, 
2018/9/24, 72, 7, 35, 6, 
2018/9/25, 59, 7, 35, 7, 
2018/9/26, 61, 15, 36, 10, 
2018/9/27, 122, 20, 43, 12, 
2018/9/29, 72, 5, 34, 5, 
2018/9/30, 50, 8, 22, , 
2018/4/1, 38, 7, 40, 5, 
2018/4/2, 42, 12, 37, 5, 
2018/4/3, 82, 13, 33, 7, 
2018/4/4, 68, 16, 28, 9, 
2018/4/5, 74, 15, 36, 9, 
2018/4/6, 72, 12, 42, 8, 
2018/4/7, 59, 10, 45, 5, 
2018/4/8, 50, 15, 29, 4, 
2018/4/9, 63, 11, 30, 9, 
2018/4/10, 53, 9, 33, 7, 
2018/4/11, 55, 10, 36, 4, 
2018/4/12, 70, 6, 44, 6, 
2018/4/13, 42, 12, 46, 6, 
2018/4/14, 70, 23, 25, 8, 
2018/4/15, 93, 14, 35, 6, 
2018/4/16, 89, 13, 40, 9, 
2018/4/17, 87, 12, 47, 6, 
2018/4/18, 72, , 53, 6, 
2018/4/19, 82, , 51, 9, 
2018/4/20, 89, 11, 57, 10, 
2018/4/21, 70, 8, 51, 4, 
2018/4/22, 57, 12, 47, 2, 
2018/4/23, 68, 14, 48, 3, 
2018/4/24, 76, 12, 46, 6, 
2018/4/25, 76, 13, 49, 2, 
2018/4/26, 80, , , 3, 
2018/4/27, 61, 10, 50, 6, 
2018/4/28, 80, 16, 41, 3, 
2018/4/29, 82, 4, 39, 2, 
2018/4/30, 50, 5, 31, 4, 
2018/5/1, 46, 7, 29, 7, 
2018/5/2, 53, 13, 23, 8, 
2018/5/3, 72, 11, 41, 6, 
2018/5/4, 82, 11, 33, 6, 
2018/5/5, 76, 14, 46, , 
2018/5/6, 74, 13, 53, , 
2018/5/7, 68, 12, 49, 6, 
2018/5/8, 74, 13, 37, 6, 
2018/5/9, 65, 9, 40, 6, 
2018/5/10, 53, 12, 49, 9, 
2018/5/11, 72, 11, 44, 6, 
2018/5/12, 70, 10, 42, 6, 
2018/5/13, 61, 3, 35, 3, 
2018/5/14, 25, 4, 32, 5, 
2018/5/15, 21, 9, 41, 6, 
2018/5/16, 61, 10, 39, 4, 
2018/5/17, 59, 10, 51, 4, 
2018/5/18, 55, 9, 52, 5, 
2018/5/19, 50, 10, 49, 3, 
2018/5/20, 57, 10, 52, 5, 
2018/5/21, 57, 14, 34, 4, 
2018/5/22, 65, 11, 32, 9, 
2018/5/23, 70, 12, 42, 15, 
2018/5/24, 76, 17, 55, 12, 
2018/5/25, 87, 11, 51, 10, 
2018/5/26, 65, 13, 47, 8, 
2018/5/27, 70, 19, 43, 6, 
2018/5/28, 89, 9, 42, 4, 
2018/5/29, 70, 19, 42, 6, 
2018/5/30, 89, 17, 38, 6, 
2018/5/31, 87, 10, 43, 3, 
2018/6/1, 68, 10, 48, 6, 
2018/6/2, 63, 11, 52, 5, 
2018/6/3, 65, 10, 40, 6, 
2018/6/4, 68, 10, 41, 7, 
2018/6/5, 68, , 47, 8, 
2018/6/6, 74, , 43, 4, 
2018/6/8, 42, 5, 45, 7, 
2018/6/9, 46, 9, 43, 7, 
2018/6/10, 46, 12, 39, 12, 
2018/6/11, 78, , 39, 8, 
2018/6/12, 85, , , , 
2018/6/13, 59, , , 6, 
2018/6/14, 42, , 44, 4, 
2018/6/15, 50, 9, 53, 6, 
2018/6/16, 61, 11, 59, 5, 
2018/6/17, 74, 10, 47, 9, 
2018/6/18, 76, 10, 45, 6, 
2018/6/19, 68, 11, 55, 8, 
2018/6/20, 78, 14, 66, 7, 
2018/6/21, 91, 4, 40, 3, 
2018/6/22, 55, 5, 41, 3, 
2018/6/23, 53, 6, 42, 4, 
2018/6/24, 42, 5, 39, 4, 
2018/6/25, 46, 7, 39, 7, 
2018/6/26, 50, 7, 46, 6, 
2018/6/27, 55, 6, 45, 6, 
2018/6/28, 38, 9, 53, 8, 
2018/6/29, 70, 13, 66, 7, 
2018/6/30, 68, 10, 45, 10, 
2018/1/1, 119, 18, 14, 11, 
2018/1/2, 80, 22, 11, 14, 
2018/1/3, 80, 23, 9, 16, 
2018/1/4, 87, 27, 6, 12, 
2018/1/5, 102, 53, 7, 19, 
2018/1/6, 160, 28, 10, 8, 
2018/1/7, 112, 12, 21, 7, 
2018/1/8, 91, 12, 22, 7, 
2018/1/9, 74, 14, 14, 12, 
2018/1/10, 65, 18, 7, 11, 
2018/1/11, 78, 14, 19, 10, 
2018/1/12, 70, 28, 4, 13, 
2018/1/13, 107, 23, 10, 10, 
2018/1/14, 95, 29, 3, 10, 
2018/1/15, 112, 29, 4, 13, 
2018/1/16, 109, 10, 23, 12, 
2018/1/17, 74, 9, 21, 18, 
2018/1/18, 42, 28, 8, 17, 
2018/1/19, 109, 37, 11, 15, 
2018/1/20, 134, 29, 17, 12, 
2018/1/21, 109, 24, 15, 14, 
2018/1/22, 97, , 16, 14, 
2018/1/25, 157, 55, 14, 14, 
2018/1/26, 163, 49, 4, 13, 
2018/1/27, 155, 25, 18, 10, 
2018/1/28, 99, 14, 7, 11, 
2018/1/29, 89, 18, 8, 12, 
2018/1/30, 93, 22, 10, 12, 
2018/1/31, 107, 20, 6, 12, 
2018/2/1, 85, 10, 15, 14, 
2018/2/2, 46, 3, 30, 9, 
2018/2/3, 21, 15, 22, 10, 
2018/2/4, 68, 17, 20, 11, 
2018/2/5, 74, 18, 28, 17, 
2018/2/6, 68, 18, 28, 20, 
2018/2/7, 70, 15, 13, 20, 
2018/2/8, 78, 35, 14, 18, 
2018/2/9, 127, 26, 13, 18, 
2018/2/10, 104, 21, 25, 9, 
2018/2/11, 82, 19, 20, 6, 
2018/2/12, 74, 10, 24, 22, 
2018/2/13, 55, 17, 21, 23, 
2018/2/14, 91, 31, 18, 26, 
2018/2/15, 119, 43, 11, 22, 
2018/2/16, 152, 45, 17, 23, 
2018/2/17, 152, 25, 28, 10, 
2018/2/18, 95, 11, 30, 10, 
2018/2/19, 55, 18, 26, 19, 
2018/2/20, 72, 17, 23, 13, 
2018/2/21, 72, 7, 30, 14, 
2018/2/22, 34, 8, 28, 9, 
2018/2/23, 30, , 31, 18, 
2018/2/27, 91, 34, 32, 17, 
2018/2/28, 117, 35, 31, 10, 
2018/3/1, 137, 51, 23, 26, 
2018/3/2, 155, 44, 12, 28, 
2018/3/3, 142, 13, 15, 26, 
2018/3/5, 122, 35, 14, 29, 
2018/3/6, 124, 17, 25, 24, 
2018/3/7, 72, 20, 30, 18, 
2018/3/8, 82, 16, 32, 22, 
2018/3/9, 70, 29, 22, 19, 
2018/3/10, 109, , 28, 15, 
2018/3/11, 72, 10, 19, 5, 
2018/3/12, 53, 21, 25, 15, 
2018/3/13, 85, 20, 28, 13, 
2018/3/14, 91, 11, 31, 11, 
2018/3/15, 61, 10, 33, 12, 
2018/3/16, 50, 10, 32, 7, 
2018/3/17, 50, 4, 32, 6, 
2018/3/18, 21, 6, 30, 21, 
2018/3/19, 30, 15, 34, 17, 
2018/3/20, 68, 17, 39, 7, 
2018/3/21, 80, 16, 36, 10, 
2018/3/22, 74, 20, 36, 14, 
2018/3/23, 82, 12, 38, 7, 
2018/3/24, 59, 13, 42, 9, 
2018/3/25, 72, 29, 41, 13, 
2018/3/26, 105, 21, 42, 9, 
2018/3/27, 82, 25, 41, 11, 
2018/3/28, 95, 29, 30, 16, 
2018/3/29, 95, 9, 34, 14, 
2018/3/30, 53, 3, 36, 5, 
2018/3/31, 5, 8, 38, 4, 
2017/10/1, 85, 22, 35, 8, 
2017/10/2, 95, 37, 23, 11, 
2017/10/3, 142, 41, 32, 14, 
2017/10/4, 153, 43, 39, 10, 
2017/10/5, 155, 25, 33, 11, 
2017/10/6, 112, 7, 26, 7, 
2017/10/7, 42, 12, 33, 10, 
2017/10/8, 68, 21, 38, 7, 
2017/10/9, 97, 27, 39, 7, 
2017/10/10, 119, 18, 39, 7, 
2017/10/11, 87, 39, 37, 10, 
2017/10/12, 154, 42, 35, 11, 
2017/10/13, 159, 40, 38, 8, 
2017/10/14, 161, 30, 42, 7, 
2017/10/15, 161, 40, 43, 8, 
2017/10/16, 157, 49, 37, 9, 
2017/10/17, 164, 30, 23, 7, 
2017/10/18, 154, 25, 25, 8, 
2017/10/19, 129, 51, 27, 5, 
2017/10/20, 165, 54, 22, 7, 
2017/10/21, 170, 35, 22, 6, 
2017/10/22, 151, 8, 21, 12, 
2017/10/23, 50, 10, 22, 15, 
2017/10/24, 72, 14, 22, 13, 
2017/10/25, 82, 26, 16, 12, 
2017/10/26, 129, 40, 20, 16, 
2017/10/27, 153, 52, 17, 11, 
2017/10/28, 163, 21, 24, 9, 
2017/10/29, 127, 22, 22, 9, 
2017/10/30, 102, 14, 21, 11, 
2017/10/31, 78, 19, 23, 10, 
2017/11/1, 95, 32, 20, 12, 
2017/11/2, 149, 53, 22, 11, 
2017/11/3, 164, 55, 15, 10, 
2017/11/4, 170, 27, 23, 11, 
2017/11/5, 104, , 22, 6, 
2017/11/6, 9, 2, 24, 6, 
2017/11/7, 21, 10, 17, 11, 
2017/11/8, 55, 18, 11, 11, 
2017/11/9, 80, 20, 11, 13, 
2017/11/10, 87, 18, 4, 14, 
2017/11/11, 87, 20, 9, 15, 
2017/11/12, 85, 3, 30, 8, 
2017/11/13, 17, 9, 21, 13, 
2017/11/14, 57, 15, 11, 13, 
2017/11/15, 72, 13, 14, 15, 
2017/11/16, 85, 28, 5, 17, 
2017/11/17, 104, 30, 11, 13, 
2017/11/18, 109, 35, 12, 13, 
2017/11/19, 132, 23, 4, 13, 
2017/11/20, 112, 50, 3, 18, 
2017/11/21, 155, 42, 4, 19, 
2017/11/22, 152, 56, 5, 14, 
2017/11/23, 168, 57, 2, 17, 
2017/11/24, 170, 53, 6, 15, 
2017/11/25, 164, 12, 24, 13, 
2017/11/26, 59, 14, 14, 14, 
2017/11/27, 65, 31, 2, 17, 
2017/11/28, 114, 23, 7, 14, 
2017/11/29, 87, 29, 9, 13, 
2017/11/30, 99, 16, 7, 11, 
2017/12/1, 65, 10, 21, 6, 
2017/12/2, 55, 20, 15, 12, 
2017/12/3, 78, 29, 10, 18, 
2017/12/4, 109, 50, 3, 20, 
2017/12/5, 158, 41, 4, 19, 
2017/12/6, 151, 52, 2, 19, 
2017/12/7, 158, 53, 2, 15, 
2017/12/8, 158, 20, 13, 15, 
2017/12/9, 76, 15, 14, 11, 
2017/12/10, 57, 25, 11, 11, 
2017/12/11, 87, 29, 2, 11, 
2017/12/12, 104, 26, 4, 13, 
2017/12/13, 93, 34, 2, 17, 
2017/12/14, 122, 20, 2, 14, 
2017/12/15, 114, 13, 21, 15, 
2017/12/16, 61, 26, 9, 11, 
2017/12/17, 104, 32, 4, 12, 
2017/12/18, 127, 37, 4, 16, 
2017/12/19, 144, 47, 3, 18, 
2017/12/20, 155, 51, 3, 18, 
2017/12/21, 155, 53, 2, 18, 
2017/12/22, 163, 50, 8, 19, 
2017/12/23, 154, 47, 5, 18, 
2017/12/24, 151, 53, 3, 18, 
2017/12/25, 157, 53, 7, 15, 
2017/12/26, 157, 19, 13, 10, 
2017/12/27, 70, 5, 18, 10, 
2017/12/28, 25, , , , 
2017/12/31, 147, 30, 8, 11, 
2017/7/1, 55, 2, 47, 7, 
2017/7/2, 65, 8, 49, 5, 
2017/7/3, 55, 7, 49, 4, 
2017/7/4, 46, 10, 69, 5, 
2017/7/5, 53, 11, 81, 8, 
2017/7/6, 72, 13, 86, 13, 
2017/7/7, 76, 13, 91, 13, 
2017/7/8, 80, 8, 65, 5, 
2017/7/9, 53, 10, 60, 6, 
2017/7/10, 68, 13, 54, 7, 
2017/7/11, 65, 12, 63, 7, 
2017/7/12, 70, 13, 66, 6, 
2017/7/13, 70, 7, 49, 4, 
2017/7/14, 42, 6, 45, 7, 
2017/7/15, 55, 6, 42, 7, 
2017/7/16, 46, 9, 51, 8, 
2017/7/17, 61, 11, 74, 10, 
2017/7/18, 70, 13, 82, 9, 
2017/7/19, 63, 14, 77, 12, 
2017/7/20, 78, , , , 
2017/7/26, 68, , 63, , 
2017/7/27, 78, , 70, , 
2017/7/28, 74, 11, 59, , 
2017/7/29, 65, 7, 61, , 
2017/7/30, 46, 10, 67, , 
2017/7/31, 65, , 81, 7, 
2017/8/1, 70, , 85, 6, 
2017/8/2, 99, , 79, 7, 
2017/8/3, 85, 17, 89, 7, 
2017/8/4, 109, 13, 77, 6, 
2017/8/5, 99, 12, 66, 5, 
2017/8/6, 85, 4, 46, 3, 
2017/8/7, 53, 6, 55, 6, 
2017/8/8, 59, 10, 51, 4, 
2017/8/9, 68, 10, 32, 6, 
2017/8/10, 89, 6, 42, 3, 
2017/8/11, 57, 6, 52, 3, 
2017/8/12, 53, 6, 50, 4, 
2017/8/13, 55, 6, 45, 4, 
2017/8/14, 50, 6, 50, 2, 
2017/8/15, 38, 8, 64, 5, 
2017/8/16, 59, 10, 67, 4, 
2017/8/17, 68, 10, 61, 5, 
2017/8/18, 70, 11, 59, 4, 
2017/8/19, 72, 3, 44, 1, 
2017/8/20, 30, 5, 41, 6, 
2017/8/21, 55, 7, 46, 5, 
2017/8/22, 61, 9, 58, 6, 
2017/8/23, 59, 10, 69, 3, 
2017/8/24, 63, 10, 57, 2, 
2017/8/26, 65, 13, 78, 4, 
2017/8/27, 78, 12, 48, 5, 
2017/8/28, 85, 8, 47, 4, 
2017/8/29, 65, 11, 60, 5, 
2017/8/30, 80, 11, 48, , 
2017/8/31, 78, 9, 44, 3, 
2017/9/1, 59, 5, 34, 3, 
2017/9/2, 46, 2, 35, 8, 
2017/9/3, 22, 4, 38, 11, 
2017/9/4, 48, 5, 38, 11, 
2017/9/5, 50, , , , 
2017/9/8, 30, 10, 43, 7, 
2017/9/9, 61, 6, 35, 3, 
2017/9/10, 30, 8, 30, 6, 
2017/9/11, 34, 7, 26, 11, 
2017/9/12, 59, 9, 32, 8, 
2017/9/13, 63, 13, 25, 14, 
2017/9/14, 78, , 24, 8, 
2017/9/16, 50, 5, 35, 5, 
2017/9/17, 50, 4, 23, 6, 
2017/9/18, 46, 3, 24, 4, 
2017/9/19, 25, 6, 32, 6, 
2017/9/20, 42, 13, 37, 7, 
2017/9/21, 68, 20, 43, 13, 
2017/9/22, 91, 28, 42, 7, 
2017/9/23, 112, 15, 37, 5, 
2017/9/24, 72, 6, 37, 5, 
2017/9/25, 50, 11, 35, 8, 
2017/9/26, 59, 16, 37, 7, 
2017/9/27, 87, 19, 37, 6, 
2017/9/28, 107, 19, 38, 6, 
2017/9/29, 85, 14, 38, 6, 
2017/9/30, 82, 19, 27, 5, 
2017/4/1, 86, 15, 42, 2, 
2017/4/2, 76, 15, 39, 4, 
2017/4/3, 86, 18, 39, 10, 
2017/4/4, 90, 12, 43, 7, 
2017/4/5, 58, 20, 32, 6, 
2017/4/6, 85, 9, 39, 6, 
2017/4/7, 56, 9, 46, 5, 
2017/4/8, 67, 10, 47, 4, 
2017/4/9, 65, 11, 45, 4, 
2017/4/10, 69, 11, 43, 4, 
2017/4/11, 65, 6, 42, 4, 
2017/4/12, 50, 12, 49, 6, 
2017/4/13, 73, 13, 51, 3, 
2017/4/14, 79, 19, 36, 3, 
2017/4/15, 86, 14, 40, 3, 
2017/4/16, 65, 4, 41, 3, 
2017/4/17, 22, 6, 34, 5, 
2017/4/18, 37, 7, 39, 7, 
2017/4/19, 38, 8, 38, 9, 
2017/4/20, 45, 11, 43, 7, 
2017/4/21, 58, 15, 53, 11, 
2017/4/22, 75, 12, 51, 5, 
2017/4/23, 63, 10, 51, 2, 
2017/4/24, 55, 10, 44, 2, 
2017/4/25, 56, 10, 35, 8, 
2017/4/26, 55, 10, 23, 6, 
2017/4/27, 71, 6, 37, 6, 
2017/4/28, 47, 9, 43, 6, 
2017/4/29, 54, 10, 49, 6, 
2017/4/30, 60, 14, 43, 5, 
2017/5/1, 67, 7, 45, 5, 
2017/5/2, 39, 9, 40, 5, 
2017/5/3, 49, 10, 32, 5, 
2017/5/4, 50, 10, 43, 7, 
2017/5/5, 52, 14, 42, 3, 
2017/5/6, 64, 6, 41, 4, 
2017/5/7, 35, 9, 28, 6, 
2017/5/8, 54, 4, 40, 6, 
2017/5/9, 22, 6, 40, 5, 
2017/5/10, 41, 9, 40, 6, 
2017/5/11, 54, 10, 36, 6, 
2017/5/12, 64, 9, 42, 7, 
2017/5/13, 55, 9, 41, 3, 
2017/5/14, 67, 5, 41, 3, 
2017/5/15, 53, 7, , 5, 
2017/5/16, 54, 10, 59, 5, 
2017/5/17, 64, 10, 55, 6, 
2017/5/18, 57, 10, 42, 4, 
2017/5/19, 50, 10, 34, 4, 
2017/5/20, 54, 7, 45, 4, 
2017/5/21, 50, 9, 50, 6, 
2017/5/22, 58, 13, 64, 7, 
2017/5/23, 71, 22, 65, 4, 
2017/5/24, 100, 7, 48, 1, 
2017/5/25, 52, 7, 48, 3, 
2017/5/26, 42, 9, 55, 4, 
2017/5/27, 56, 10, 51, 3, 
2017/5/28, 58, 9, 51, 3, 
2017/5/29, 57, 9, 73, 3, 
2017/5/30, 69, 10, 68, 3, 
2017/5/31, 70, 10, 63, 5, 
2017/6/1, 71, 12, 63, 4, 
2017/6/2, 70, 11, 61, 5, 
2017/6/3, 71, 10, 47, 6, 
2017/6/4, 55, 9, 44, 4, 
2017/6/5, 56, 9, 41, 2, 
2017/6/6, 55, 9, 46, 4, 
2017/6/7, 62, 5, 45, 4, 
2017/6/8, 42, 8, 59, 10, 
2017/6/9, 58, 18, 87, 8, 
2017/6/10, 91, 10, 59, 6, 
2017/6/11, 51, 10, 62, 5, 
2017/6/12, 56, 10, 76, 6, 
2017/6/13, 67, 11, 71, 4, 
2017/6/14, 69, 11, 68, 6, 
2017/6/15, 63, 21, 81, 8, 
2017/6/16, 97, 11, 62, 4, 
2017/6/17, 64, 8, 50, 9, 
2017/6/18, 63, 9, 58, 10, 
2017/6/19, 71, 11, 89, 8, 
2017/6/20, 73, 12, 82, 12, 
2017/6/21, 74, 13, 95, 7, 
2017/6/22, 72, 16, 84, 7, 
2017/6/23, 81, 17, 75, 11, 
2017/6/24, 82, 11, 49, 5, 
2017/6/25, 68, 9, 57, 5, 
2017/6/26, 57, 9, 50, 5, 
2017/6/27, 57, 10, 50, 6, 
2017/6/28, 57, 5, , 3, 
2017/6/29, 38, 5, 42, 3, 
2017/6/30, 41, 7, 44, 4, 
2017/1/4, 147, 20, 28, 14, 
2017/1/5, 76, 11, 19, 10, 
2017/1/6, 61, 20, 22, 11, 
2017/1/7, 87, 36, 17, 15, 
2017/1/8, 142, 50, 6, 18, 
2017/1/9, 156, 36, 12, 17, 
2017/1/10, 117, 25, 17, 18, 
2017/1/11, 102, 46, 4, 22, 
2017/1/12, 154, 32, 9, 14, 
2017/1/13, 107, 15, 16, 15, 
2017/1/14, 63, 30, 12, 11, 
2017/1/15, 99, 13, 24, 11, 
2017/1/18, 72, 15, 29, 6, 
2017/1/19, 74, 26, 19, 17, 
2017/1/20, 104, 35, 16, 19, 
2017/1/21, 137, 44, 14, 22, 
2017/1/22, 149, 38, 14, 17, 
2017/1/23, 134, 34, 11, 19, 
2017/1/24, 122, 26, 25, 11, 
2017/1/25, 104, 28, 19, 14, 
2017/1/26, 114, 36, 18, 17, 
2017/1/27, 149, 51, 13, 22, 
2017/1/28, 159, 57, 12, 23, 
2017/1/29, 175, 59, 6, 18, 
2017/1/30, 190, 67, 4, 21, 
2017/1/31, 195, , 2, 16, 
2017/2/1, 195, 62, 2, 16, 
2017/2/2, 183, 23, 4, 13, 
2017/2/3, 109, 17, 6, 15, 
2017/2/4, 70, 12, 24, 14, 
2017/2/5, 55, 12, 25, 13, 
